,latitude,longitude,year,predsoc,bushland,cropland,forest,grassland,mangrove,other,shrubland,thicket,wooded_grassland,woodland
140,1.41147789,35.17241206,2021,9.3344,0,0,0,0,0,0,0,0,1,0
141,1.414172836,35.17322054,2021,6.30775,0,0,0,0,0,0,1,0,0,0
142,1.411747385,35.16783065,2021,6.00355,1,0,0,0,0,0,0,0,0,0
143,1.416328793,35.17268155,2021,7.4111,0,0,0,0,0,0,1,0,0,0
144,1.416059298,35.16863913,2021,10.3812,0,0,0,0,0,0,0,0,1,0
145,1.406896482,35.16971711,2021,7.5658,0,0,0,0,0,0,1,0,0,0
146,1.407165977,35.16702216,2021,7.43565,0,0,0,0,0,0,1,0,0,0
147,1.40851345,35.16567469,2021,6.508,0,0,0,0,0,0,0,0,1,0
148,1.433576446,35.16863913,2021,5.29975,0,0,0,0,0,0,0,0,1,0
149,1.42791706,35.17672397,2021,9.86355,0,0,0,0,0,0,0,0,1,0
150,1.429803522,35.17268155,2021,15.21405,0,0,0,0,0,0,0,0,1,0
151,1.427108576,35.16836964,2021,9.1755,1,0,0,0,0,0,0,0,0,0
152,1.434115435,35.17106458,2021,6.62455,0,0,0,0,0,0,0,0,1,0
153,1.428456049,35.17268155,2021,5.804,0,0,0,0,0,0,0,0,1,0
154,1.431689984,35.17699346,2021,7.14905,1,0,0,0,0,0,0,0,0,0
155,1.427108576,35.16836964,2021,6.9499,0,0,0,0,0,0,0,0,1,0
156,1.432228973,35.17241206,2021,5.1768,1,0,0,0,0,0,0,0,0,0
157,1.433037457,35.17726296,2021,7.6186,0,0,0,0,0,0,0,0,1,0
158,1.365663811,35.19208516,2021,10.96055,1,0,0,0,0,0,0,0,0,0
159,1.364585832,35.19208516,2021,7.61435,0,0,0,0,0,0,0,0,1,0
160,1.364046843,35.19343263,2021,5.6161,0,0,0,0,0,0,0,0,1,0
161,1.367011284,35.1953191,2021,9.2436,0,1,0,0,0,0,0,0,0,0
162,1.364585832,35.18939021,2021,8.5425,0,0,0,0,0,0,0,0,1,0
163,1.361890886,35.1901987,2021,5.6681,0,0,0,0,0,0,0,0,1,0
164,1.369436735,35.19424112,2021,5.6106,0,0,0,0,0,0,0,0,1,0
165,1.364046843,35.19181567,2021,7.67075,0,0,0,0,0,0,0,0,1,0
166,1.365663811,35.18723426,2021,7.93805,0,0,0,0,0,0,0,0,1,0
167,1.363507854,35.19666657,2021,6.96165,0,1,0,0,0,0,0,0,0,0
168,-2.676485473,33.51879328,2021,7.3325,0,1,0,0,0,0,0,0,0,0
169,-2.673790527,33.51313389,2021,9.154,0,1,0,0,0,0,0,0,0,0
170,-2.674329517,33.51717631,2021,9.857,0,1,0,0,0,0,0,0,0,0
171,-2.679180419,33.51528985,2021,10.2808,0,1,0,0,0,0,0,0,0,0
172,-2.674868506,33.5179848,2021,10.7791,0,0,0,1,0,0,0,0,0,0
173,-2.673251538,33.51475086,2021,6.4788,0,1,0,0,0,0,0,0,0,0
174,-2.67864143,33.51259491,2021,19.2945,0,1,0,0,0,0,0,0,0,0
175,-2.676215979,33.51394238,2021,12.0332,0,1,0,0,0,0,0,0,0,0
176,-2.675946484,33.51421187,2021,12.729,0,1,0,0,0,0,0,0,0,0
177,-2.677563452,33.51448137,2021,18.3877,0,1,0,0,0,0,0,0,0,0
178,-2.650613993,33.51313389,2021,5.227,0,1,0,0,0,0,0,0,0,0
179,-2.660046304,33.51178642,2021,11.0908,0,1,0,0,0,0,0,0,0,0
180,-2.652500455,33.50720501,2021,5.6582,0,1,0,0,0,0,0,0,0,0
