longitude,latitude,SOC,SR_B2_1,SR_B2_2,SR_B2_3,SR_B2_4,SR_B2_5,SR_B2_6,SR_B3_1,SR_B3_2,SR_B3_3,SR_B3_4,SR_B3_5,SR_B3_6,SR_B4_1,SR_B4_2,SR_B4_3,SR_B4_4,SR_B4_5,SR_B4_6,SR_B5_1,SR_B5_2,SR_B5_3,SR_B5_4,SR_B5_5,SR_B5_6,SR_B6_1,SR_B6_2,SR_B6_3,SR_B6_4,SR_B6_5,SR_B6_6,SR_B7_1,SR_B7_2,SR_B7_3,SR_B7_4,SR_B7_5,SR_B7_6,EVI_1,EVI_2,EVI_3,EVI_4,EVI_5,EVI_6,ratio_B7_B5_1,ratio_B7_B5_2,ratio_B7_B5_3,ratio_B7_B5_4,ratio_B7_B5_5,ratio_B7_B5_6,ratio_B7_B4_1,ratio_B7_B4_2,ratio_B7_B4_3,ratio_B7_B4_4,ratio_B7_B4_5,ratio_B7_B4_6
32.95581909,-3.941762551,5.3468,0.28059,0.10465875,0.05249125,0.189125,0.0365,0.41356625,0.3196125,0.19474875,0.09008375,0.2222075,0.060535,0.4128925,0.3342425,0.23467875,0.0806925,0.25612875,0.055805,0.43042375,0.491735,0.42874625,0.30259,0.40196125,0.2435475,0.5221775,0.399005,0.44026875,0.2011975,0.34363375,0.114655,0.4684425,0.3236,0.32523625,0.12176375,0.2790775,0.0711225,0.35759,0.282697547683924,0.200023451538984,0.404282389390038,0.24368233994931,0.329831584967566,0.165556950233484,0.658078029833142,0.758575147887591,0.402405069566079,0.694289561493801,0.292027222615711,0.6848054540841,0.968159345385461,1.38587856804248,1.50898472596586,1.08959849294544,1.27448257324613,0.830785940599235
32.95581909,-3.922089446,5.2571,0.089025,0.099255,0.02605,0.16092375,0.01074625,0.2250675,0.170095,0.1667125,0.0775025,0.24891,0.08912125,0.30842,0.1968525,0.2173125,0.068895,0.29440875,0.0883925,0.33152,0.4548025,0.4089325,0.286695,0.43393,0.31781125,0.4424,0.3862725,0.4754275,0.1667675,0.32399875,0.19161375,0.45835,0.2970075,0.319915,0.0900975,0.23168125,0.12594375,0.3588,0.31619674110796,0.233729249149128,0.339119316530735,0.218291358752749,0.325412092536207,0.143635596147204,0.653047201807378,0.78231737511692,0.314262543818344,0.533913880118913,0.396284744482771,0.811030741410488,1.50878195603307,1.47214265171125,1.30775092532114,0.786937378729403,1.42482393868258,1.08228764478765
32.95716656,-3.942032046,7.9449,0.0734325,0.0716175,0.02064625,0.23660375,0.01835,0.41307125,0.1255725,0.128955,0.08952,0.26365,0.0628175,0.405,0.138965,0.1463075,0.08666,0.29577,0.0573175,0.4320875,0.35154,0.33306,0.30023875,0.43217,0.2533375,0.5104075,0.2797375,0.1737525,0.19290625,0.36890625,0.1308525,0.4536475,0.18951,0.1126475,0.13199375,0.29710375,0.068895,0.33717125,0.272585669781931,0.166006790081423,0.320187140132501,0.246051902935974,0.335738643857038,0.187831082402239,0.539085168117426,0.338219840269021,0.43962929501938,0.68746963000671,0.271949474515222,0.660592271861209,1.36372467887598,0.769936606120671,1.52312197092084,1.00450941610035,1.2019889213591,0.780330951485521
32.95716656,-3.941493056,6.7935,0.057125,0.0865775,0.03518,0.19183375,0.02022,0.35944625,0.0877875,0.17697,0.0678225,0.2293575,0.06378,0.3869325,0.09986,0.1889325,0.0423575,0.25612875,0.06631,0.39879875,0.3214825,0.3140025,0.256445,0.39560875,0.255895,0.49172125,0.254575,0.33317,0.111575,0.362595,0.13737,0.45228625,0.1674825,0.2282025,0.0798675,0.293955,0.0732675,0.337295,0.285766094252333,0.17474610312834,0.429294600317628,0.22989581378482,0.340655178943382,0.142349649998678,0.520969259602,0.726753767884014,0.311441049737761,0.743044738014516,0.286318607241251,0.685947577006282,1.67717304225916,1.20785201063872,1.88555745735702,1.14768451413596,1.10492384255768,0.845777475481054
32.95716656,-3.940954067,5.1141,0.05256,0.09579,0.02198,0.2685175,0.01736,0.395705,0.0815725,0.1801875,0.0848725,0.298905,0.051735,0.419465,0.09084,0.24924,0.0706825,0.3038,0.0497275,0.43240375,0.2895825,0.44834,0.2575725,0.442345,0.19259,0.51775,0.2444,0.505485,0.1311275,0.3125175,0.1076975,0.46622875,0.15816,0.367985,0.0894925,0.2656025,0.0634775,0.34784125,0.271551639166519,0.1834814908518,0.308029805827003,0.276810144943462,0.260472171817545,0.138395577168935,0.546165600476548,0.820772181826293,0.347445864756525,0.600441962721405,0.329599148450075,0.671832448092709,1.74108322324967,1.47642834216017,1.26611961942489,0.874267610269914,1.27650696294807,0.80443624737297
32.95743606,-3.944996486,5.637,0.097,0.31088125,0.0892175,0.11097,0.12648,0.233015,0.158655,0.34311125,0.1454275,0.1791425,0.18432625,0.2803975,0.1670425,0.360285,0.1535125,0.2369475,0.1812325,0.31557,0.3418875,0.4950075,0.3885825,0.3834675,0.436955,0.43404,0.3048725,0.43498875,0.279985,0.34406,0.3088325,0.4246075,0.22053,0.32617125,0.1923975,0.239615,0.2334275,0.3160375,0.270382907785735,0.245552438968841,0.358223121116095,0.185416115144,0.403199597746716,0.148463774051525,0.645036744543161,0.658921834517659,0.495126517534886,0.624863906328437,0.534214049501665,0.728129895862132,1.32020294236497,0.905314542653732,1.25330184838368,1.01125776807099,1.28800022071097,1.00148144627183
32.95797505,-3.964669591,8.2459,0.03040875,0.03848,0.111575,0.20929625,-0.0218825,0.13495,0.06882625,0.09502,0.1816725,0.23096625,0.1335475,0.19435,0.06477,0.135555,0.1726525,0.2691225,0.1209525,0.23571,0.1906925,0.2208875,0.433655,0.40949625,0.358195,0.3735675,0.1482875,0.246875,0.2673625,0.3122425,0.2533925,0.39884,0.09880125,0.1913525,0.19996,0.257765,0.19325,0.3247,0.232673528853769,0.122209619232163,0.399634514004682,0.25562962723442,0.263833925611494,0.105614608885255,0.518118174548029,0.866289400713033,0.461103872894352,0.629468523826531,0.539510601767194,0.869186960857141,1.52541685965725,1.41162258861717,1.15816452122037,0.957798028778716,1.59773464789897,1.37754019770056
32.95797505,-3.944457497,8.8087,0.1290925,0.03054625,0.096725,0.081985,0.1183125,0.40999125,0.16575,0.1138575,0.13242,0.1788675,0.16067625,0.417045,0.180215,0.1259025,0.1404225,0.2077975,0.162285,0.43438375,0.3552525,0.34041625,0.37486,0.3673525,0.37094125,0.49848625,0.28774,0.31557,0.219155,0.2547125,0.26561625,0.44359625,0.2039475,0.20286125,0.1619825,0.2220425,0.2037275,0.32537375,0.294246312807266,0.295216211866601,0.392835419239489,0.218794414570177,0.359453703084401,0.175102362404752,0.57409166719446,0.595921170038152,0.432114656138292,0.604439877229637,0.549217699568328,0.652723620761856,1.13168992592182,1.61125672643514,1.15353664832915,1.06855231655819,1.25536864158733,0.749046781791446
32.95878353,-3.966556053,7.0021,0.029405,0.0474175,0.1404225,0.0638075,0.044365,0.10548375,0.08006,0.10701,0.189785,0.1720475,0.112345,0.15253625,0.075275,0.131705,0.18984,0.2072475,0.1031875,0.20107375,0.2264425,0.19468,0.4434175,0.3276425,0.3122975,0.3346275,0.17346375,0.2713775,0.2728075,0.274925,0.1800775,0.35631125,0.11334875,0.1977875,0.21547,0.2200625,0.121805,0.27862375,0.25644916874332,0.0966301806857789,0.414535024860413,0.190962108256754,0.327003130698043,0.175476788005435,0.500563056846661,1.01596209163756,0.485930302705689,0.671654318350031,0.390028738622627,0.832638530903766,1.50579541680505,1.50174632701872,1.13500842815002,1.06183428026876,1.18042398546336,1.38567938380818
32.95878353,-3.964400096,6.5857,0.03967625,0.05498,0.07478,0.1606625,0.0430725,0.32529125,0.0847075,0.09018,0.12703,0.2228125,0.106185,0.36929125,0.07275875,0.1197975,0.11604375,0.2640625,0.11889,0.37607,0.2258375,0.1879425,0.372495,0.4018375,0.376125,0.44483375,0.1899775,0.229495,0.23005875,0.2962925,0.2550425,0.43041,0.1337125,0.1718275,0.15875125,0.23571,0.1982825,0.32567625,0.279827995329537,0.114002318691228,0.42628468310993,0.190102120974077,0.364062366210778,0.13315776610078,0.592073946975148,0.914255689905157,0.426183572933865,0.586580396304477,0.527171817879695,0.732130262148499,1.83775147319051,1.43431624199169,1.36802929929445,0.892629585798817,1.66778114223232,0.865999016140612
