longitude,latitude,year,SOC,LC
35.16863913,1.433576446,2021,5.29975,wooded_grassland
35.17672397,1.42791706,2021,9.86355,wooded_grassland
35.17268155,1.429803522,2021,15.21405,wooded_grassland
35.16836964,1.427108576,2021,9.1755,bushland
35.17106458,1.434115435,2021,6.62455,wooded_grassland
35.17268155,1.428456049,2021,5.804,wooded_grassland
35.17699346,1.431689984,2021,7.14905,bushland
35.16836964,1.427108576,2021,6.9499,wooded_grassland
35.17241206,1.432228973,2021,5.1768,bushland
35.17726296,1.433037457,2021,7.6186,wooded_grassland
35.19208516,1.365663811,2021,10.96055,bushland
35.19208516,1.364585832,2021,7.61435,wooded_grassland
35.19343263,1.364046843,2021,5.6161,wooded_grassland
35.18939021,1.364585832,2021,8.5425,wooded_grassland
35.1901987,1.361890886,2021,5.6681,wooded_grassland
35.19424112,1.369436735,2021,5.6106,wooded_grassland
35.19181567,1.364046843,2021,7.67075,wooded_grassland
35.18723426,1.365663811,2021,7.93805,wooded_grassland
35.19666657,1.363507854,2021,6.96165,cropland
33.51879328,-2.676485473,2021,7.3325,cropland
33.51313389,-2.673790527,2021,9.154,cropland
33.51717631,-2.674329517,2021,9.857,cropland
33.5179848,-2.674868506,2021,10.7791,grassland
33.51475086,-2.673251538,2021,6.4788,cropland
33.51313389,-2.650613993,2021,5.227,cropland
33.51178642,-2.660046304,2021,11.0908,cropland
33.50720501,-2.652500455,2021,5.6582,cropland
33.51124743,-2.657890347,2021,3.5188,cropland
33.51151693,-2.651422477,2021,5.9783,cropland
33.50531855,-2.651961466,2021,3.4304,cropland
33.50531855,-2.653308939,2021,5.4092,cropland
33.5080135,-2.658429336,2021,5.1497,cropland
33.51124743,-2.657081863,2021,5.8293,cropland
33.51016945,-2.651961466,2021,7.2618,cropland
33.52148823,-2.634444318,2021,13.8362,cropland
33.5228357,-2.630940888,2021,7.1314,cropland
33.51582884,-2.627437459,2021,4.9338,cropland
33.51528985,-2.629054426,2021,4.2494,cropland
33.51367288,-2.634444318,2021,4.4302,cropland
33.5228357,-2.634444318,2021,5.3062,cropland
33.52041025,-2.63633078,2021,4.5905,cropland
33.51394238,-2.636600275,2021,7.2352,cropland
33.52014075,-2.632018867,2021,4.088,cropland
33.53711891,-2.696158578,2021,12.5656,cropland
33.53631043,-2.696967062,2021,7.174,cropland
33.54196981,-2.676485473,2021,4.4676,cropland
33.5379274,-2.676215979,2021,12.26,cropland
33.5427783,-2.67864143,2021,10.5006,grassland
33.5376579,-2.675138,2021,16.4267,grassland
33.53846639,-2.677832946,2021,8.3281,cropland
33.53469346,-2.654117423,2021,8.8744,cropland
33.53523245,-2.656812369,2021,6.8079,cropland
33.53738841,-2.653039444,2021,16.9774,cropland
33.53738841,-2.656003885,2021,8.7046,cropland
33.53469346,-2.649805509,2021,4.0491,cropland
33.5379274,-2.64926652,2021,8.6533,cropland
33.53577144,-2.653308939,2021,8.4898,grassland
33.53684942,-2.650613993,2021,8.7802,cropland
33.53873588,-2.654386917,2021,17.0274,cropland
33.54385628,-2.618274643,2021,8.5617,cropland
33.54655122,-2.622317062,2021,8.427,cropland
33.54358678,-2.6204306,2021,4.6587,cropland
33.54709021,-2.62339504,2021,3.6243,cropland
33.54709021,-2.618274643,2021,10.6662,cropland
33.54466476,-2.6204306,2021,5.848,cropland
33.53981386,-2.624742513,2021,3.9663,cropland
33.54331729,-2.619622116,2021,6.0953,cropland
33.53846639,-2.623125545,2021,5.4766,cropland
33.54520375,-2.625550997,2021,6.1784,cropland
33.47244021,-2.689690708,2021,8.2829,cropland
33.47917758,-2.690499192,2021,6.4156,cropland
33.47217072,-2.69157717,2021,3.9193,cropland
33.47836909,-2.696158578,2021,5.1134,cropland
33.47890808,-2.696428073,2021,12.1169,cropland
33.4732487,-2.688882224,2021,7.3249,grassland
33.47944707,-2.696428073,2021,4.452,cropland
33.4778301,-2.690768686,2021,4.9045,cropland
33.47675213,-2.688882224,2021,4.7038,cropland
33.47944707,-2.693194138,2021,5.119,cropland
33.47486566,-2.674329517,2021,5.7872,cropland
33.46920628,-2.673521033,2021,7.8176,cropland
33.46731981,-2.645224101,2021,5.5603,cropland
33.46731981,-2.642529156,2021,10.02,cropland
33.46839779,-2.646032585,2021,9.0538,cropland
33.46920628,-2.649805509,2021,4.9234,cropland
33.46570285,-2.644954607,2021,4.4554,cropland
33.46408588,-2.645493596,2021,13.6792,cropland
33.4681283,-2.649805509,2021,5.7101,cropland
33.47190122,-2.651422477,2021,10.2438,cropland
33.46489436,-2.642529156,2021,6.4116,cropland
33.47082324,-2.64926652,2021,6.381,cropland
33.47459617,-2.621508578,2021,7.2992,cropland
33.46920628,-2.625550997,2021,3.6798,cropland
33.4729792,-2.621508578,2021,5.6668,cropland
33.47270971,-2.628245943,2021,3.8271,cropland
33.47109274,-2.627167964,2021,4.4537,cropland
33.46947577,-2.629323921,2021,6.5503,grassland
33.4732487,-2.625281502,2021,6.6678,cropland
33.47378768,-2.622586556,2021,4.804,cropland
33.47001476,-2.62986291,2021,11.3655,grassland
33.47621314,-2.624203524,2021,4.3632,cropland
33.49669472,-2.689690708,2021,3.7202,cropland
33.49723371,-2.690499192,2021,10.0824,grassland
33.49723371,-2.686995762,2021,6.8117,cropland
33.49399978,-2.68861273,2021,9.1432,cropland
33.49912018,-2.692385654,2021,7.2143,grassland
33.49992866,-2.690499192,2021,6.7773,cropland
33.48672342,-2.670017603,2021,4.9572,cropland
33.48591494,-2.66867013,2021,4.0541,cropland
33.48995736,-2.670287098,2021,3.8493,cropland
33.48699292,-2.668939625,2021,4.2279,cropland
33.48699292,-2.671904065,2021,4.0643,cropland
33.49211332,-2.653578434,2021,4.9955,cropland
33.49723371,-2.657081863,2021,9.7635,cropland
33.49426927,-2.653578434,2021,8.6396,cropland
33.49588624,-2.659507314,2021,8.6969,cropland
33.49750321,-2.658159841,2021,7.5682,cropland
33.49103534,-2.653578434,2021,5.7687,cropland
33.49373028,-2.633635834,2021,8.6434,cropland
33.49022685,-2.630671394,2021,7.72,cropland
33.4880709,-2.631210383,2021,5.4486,cropland
33.49453877,-2.633096845,2021,12.5062,grassland
33.49346079,-2.633096845,2021,6.5979,cropland
33.49184382,-2.634983307,2021,10.3774,grassland
33.49507776,-2.631210383,2021,6.1623,cropland
33.49130483,-2.63336634,2021,5.403,cropland
33.49103534,-2.636061285,2021,31.8965,shrubland
33.51582884,-2.705321394,2021,9.4605,cropland
33.51906278,-2.700470491,2021,9.2692,cropland
33.51717631,-2.705590888,2021,9.1888,grassland
33.51960176,-2.699662008,2021,5.0977,cropland
33.52148823,-2.703434932,2021,5.4767,cropland
33.51933227,-2.699392513,2021,3.3565,cropland
33.52094924,-2.703704426,2021,6.8173,cropland
33.52067974,-2.703973921,2021,8.1739,cropland
33.52041025,-2.70154847,2021,7.4419,cropland
33.51717631,-2.699931502,2021,10.9605,cropland
37.58007668,0.730734568,2021,15.2747,woodland
37.58007668,0.730734568,2021,8.84045,woodland
37.57738173,0.732351535,2021,3.2723,bushland
37.57738173,0.732351535,2021,2.6401,bushland
37.58115466,0.725075182,2021,2.6695,shrubland
37.57630376,0.729926084,2021,7.1389,shrubland
37.58142415,0.728578611,2021,3.4458,shrubland
