latitude,longitude,year,SOC,bushland,cropland,forest,grassland,mangrove,shrubland,thicket,wooded_grassland,woodland,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,EVI,ST_B10
1.385336915,35.18777325,2021.0,7.77525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.022309999999999997,0.12307000000000001,0.14597749999999998,0.35857999999999995,0.218385,0.13649,0.18628595165565542,292.19794790000003
1.385336915,35.18777325,2021.0,7.77525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.15975499999999998,0.2167075,0.2695075,0.40764000000000006,0.22506750000000003,0.20614749999999998,0.18906487601439348,273.36807572
1.385336915,35.18777325,2021.0,7.77525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02881375,0.13523875000000002,0.14413499999999999,0.31049625000000003,0.3182925,0.22938499999999998,0.14115476028248447,280.38868879999995
1.380755507,35.19316314,2021.0,10.1211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3111975,0.36500125,0.38643750000000004,0.4831,0.49474624999999994,0.41886,0.16342827637279292,287.95447607
1.380755507,35.19316314,2021.0,10.1211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025802500000000006,0.06548500000000002,0.05014000000000002,0.182195,0.16091,0.10973250000000001,0.2672284663276848,293.63693432
1.380755507,35.19316314,2021.0,10.1211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28666749999999996,0.31869125,0.32284375000000004,0.4161925,0.21343499999999999,0.2032325,0.23020316078472441,225.4269272
1.380755507,35.19316314,2021.0,10.1211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14329625,0.190995,0.20951625000000001,0.40665,0.33285375000000006,0.253915,0.31187638409748186,289.38662645
1.380755507,35.19316314,2021.0,10.1211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16540624999999998,0.23525625000000003,0.23868,0.33466875,0.17775375000000002,0.154585,0.17414396546589966,232.48001146999997
1.380755507,35.19316314,2021.0,10.1211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02510124999999999,0.07798375000000002,0.09658750000000002,0.32053375,0.30909375000000006,0.2078525,0.21871252142772338,280.41432395000004
1.386684388,35.19235465,2021.0,9.4198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.22055750000000002,0.24352000000000001,0.268325,0.4205925,0.37854499999999996,0.327505,0.2765761895723234,276.74507948
1.386684388,35.19235465,2021.0,9.4198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.039002499999999996,0.09075749999999999,0.0954875,0.330475,0.27503500000000003,0.1705625,0.33772034645591426,302.28452491999997
1.386684388,35.19235465,2021.0,9.4198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.38476,0.40218125,0.40515124999999996,0.48806375,0.31063375,0.24793375,0.22253472993650375,215.00367520999998
1.386684388,35.19235465,2021.0,9.4198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.36936,0.38756500000000005,0.39651625,0.48817375,0.29996375,0.21571749999999998,0.2569434839969287,281.62772105
1.386684388,35.19235465,2021.0,9.4198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1900325,0.23965625,0.24023375,0.34054000000000006,0.18919375000000002,0.16672625,0.19133835810346106,230.25658946000001
