longitude,latitude,year,SOC,LC,elev,slope,aspect,roughness,twi,SR_B2-1,SR_B3-1,SR_B4-1,SR_B5-1,SR_B6-1,SR_B7-1,EVI-1,ST_B10-1,VV-1,VH-1,VV/VH-1,prec-1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,EVI,ST_B10,VV,VH,VV/VH,prec
35.19397162,1.406357493,2021,7.5565,wooded_grassland,1597,2.931219346601347,258.91192626953125,15.119576454162598,-0.8337677717208862,0.17455,0.20612,0.2222625,0.35869,0.1750587499999999,0.14062875,0.2175253045510634,251.11847453,0.0973809680104566,0.0310239187881415,3.1388996559544653,16.689987182617188,0.2395324999999999,0.271955,0.309135,0.451035,0.2719275,0.2530625,0.2190844128414531,274.2020726,0.0933027692474535,0.0266460187765751,3.5015650942000165,7.548952579498291
35.19451061,1.432498468,2021,10.87515,wooded_grassland,1548,5.847233849350789,14.381668090820312,8.40307331085205,2.633342027664185,0.02396,0.1006024999999999,0.0882549999999999,0.2669775,0.1587925,0.1529625,0.1955595714470117,265.53397388,0.0768482363842391,0.0151519887167416,5.071825079920273,16.689987182617188,0.26332,0.3094925,0.31997,0.4672325,0.2901875,0.2291099999999999,0.1841540821289172,274.12345814,0.0774796642982542,0.0136770855487719,5.664925032600308,7.548952579498291
35.19424112,1.430073017,2021,7.57215,wooded_grassland,1556,2.7811533185159907,42.71879577636719,10.94342803955078,-0.6019034385681152,0.066805,0.13044,0.149525,0.3234625,0.15354,0.1516974999999999,0.2202371404952559,264.97000058,0.0555313039565174,0.0181509352154762,3.059418332845416,16.689987182617188,0.25914,0.30175125,0.3004175,0.418145,0.28178625,0.2449775,0.2075129045301105,278.02341896,0.0531157538705592,0.0157405157322306,3.37446083560007,7.548952579498291
35.19100718,1.436271392,2021,8.63035,wooded_grassland,1551,5.392625114736605,138.84829711914062,12.117258071899414,-0.98019677400589,0.0481324999999999,0.1008912499999999,0.0950612499999999,0.2568575,0.1828275,0.13342375,0.1957692407998679,272.59218518,0.0853590994420424,0.0193664192006964,4.407582969131066,16.689987182617188,0.078355,0.1603049999999999,0.1826625,0.3574525,0.2939,0.2439325,0.1897912174083513,271.0745843,0.0871708005419477,0.0183084925149339,4.761222174400426,7.548952579498291
35.19424112,1.431689984,2021,7.3758,bushland,1552,2.0731570989247974,33.92717742919922,8.35202693939209,1.5229542255401611,0.0391674999999999,0.1147099999999999,0.1277725,0.3030575,0.1711675,0.1668775,0.1816958933218961,264.37868312,0.0730500153589235,0.0196059338315747,3.725913592612391,16.689987182617188,0.0751925,0.1384975,0.16102,0.30512,0.257985,0.2043875,0.2068326140820109,271.75477028,0.0602805701092641,0.018950313878954,3.180980035175608,7.548952579498291
35.19478011,1.429534027,2021,8.09865,bushland,1556,2.7802885155287558,42.71879577636719,10.94342803955078,-0.6019034385681152,0.0622675,0.1170749999999999,0.1238674999999999,0.33395375,0.19758125,0.15993375,0.2326868917227376,264.25392539,0.0933527526492242,0.026705814892701,3.4955964842974523,16.689987182617188,0.24367125,0.2944225,0.2891425,0.4043812499999999,0.279435,0.23333125,0.1987017281776084,279.055661,0.0887170564686805,0.0260475029784297,3.4059716412029317,7.548952579498291
35.19666657,1.429264533,2021,15.16675,bushland,1562,3.819594723483304,286.3856201171875,12.330474853515623,0.765905499458313,0.1272637499999999,0.169215,0.1892625,0.33673125,0.2045249999999999,0.1751137499999999,0.232829542619113,263.06958146,0.0867370049284591,0.0198543895697832,4.3686563429008975,16.689987182617188,0.2270749999999999,0.26451625,0.26630375,0.38128125,0.25177,0.195725,0.1977828503002375,282.815483,0.0865106238770388,0.0169454412714789,5.1052446785582335,7.548952579498291
35.19127668,1.431689984,2021,6.808,wooded_grassland,1554,2.6219184450977475,325.839599609375,12.411190032958984,-1.0876396894454956,0.0228324999999999,0.08892875,0.0958725,0.261505,0.17989875,0.1405874999999999,0.2120693071328678,282.36259535,0.1150407897526328,0.025909924260471,4.440028021546271,16.689987182617188,0.20805875,0.246875,0.27590125,0.3795624999999999,0.25313125,0.20508875,0.2107615226062989,281.30642717,0.0833901312936238,0.0216140585299343,3.858143123751279,7.548952579498291
35.19289364,1.427647565,2021,8.0648,cropland,1569,2.621916226697891,39.901611328125,6.614834308624268,-1.2278163433074951,0.25992375,0.2805075,0.28549875,0.40691125,0.283285,0.2224275,0.2409345189662199,259.08929717,0.0834777041715009,0.0230990050540124,3.6139090829369054,16.689987182617188,0.0810225,0.15187625,0.176145,0.35001375,0.2550425,0.199905,0.2018757799478551,278.89672307,0.0723071922627894,0.0268356666366447,2.6944436760908403,7.548952579498291
35.19289364,1.431150995,2021,8.62885,wooded_grassland,1559,1.8543341688295631,23.001724243164062,9.919575691223145,-1.3880791664123535,0.0697749999999999,0.13649,0.1537875,0.3258,0.1640725,0.1621475,0.220772643966432,262.38939548,0.0957855930083866,0.0301390369101642,3.1781238827868235,16.689987182617188,0.21001125,0.2526775,0.2650662499999999,0.4097024999999999,0.29517875,0.2390237499999999,0.2093961069033333,281.12014508000004,0.0914513943789431,0.0249975299032011,3.658417240946348,7.548952579498291
35.19720556,1.43734937,2021,4.43455,bushland,1541,2.6219216247386674,341.1893310546875,11.343623161315918,-0.5558210015296936,0.1237849999999999,0.1688299999999999,0.1624225,0.3070449999999999,0.18797,0.1618724999999999,0.1904967103188783,267.80012114,0.0958617251050361,0.0232540352991166,4.122369467146959,16.689987182617188,0.1869799999999999,0.261725,0.26772,0.40302,0.2512475,0.2436849999999999,0.2031683522778126,279.02831684,0.0921261206656675,0.0260840596106695,3.5318935028036744,7.548952579498291
