longitude,latitude,year,LC,siteid,site,SOC
35.17349003,1.361890886,2021,grassland,chepareria_5_8,chepareria,3.9981
35.17160357,1.367819767,2021,wooded_grassland,chepareria_5_9,chepareria,8.761
35.16756115,1.385067421,2021,wooded_grassland,chepareria_6_1,chepareria,8.26695
35.16810014,1.384797926,2021,wooded_grassland,chepareria_6_10,chepareria,7.55565
35.17429852,1.386145399,2021,wooded_grassland,chepareria_6_2,chepareria,7.48805
35.16890863,1.390457313,2021,bushland,chepareria_6_3,chepareria,6.2837
35.17241206,1.390726807,2021,cropland,chepareria_6_4,chepareria,4.83075
35.17402902,1.384528432,2021,wooded_grassland,chepareria_6_5,chepareria,7.5836
35.1699866,1.38264197,2021,wooded_grassland,chepareria_6_6,chepareria,6.44995
35.17672397,1.381025002,2021,wooded_grassland,chepareria_6_7,chepareria,4.86485
35.17187307,1.381833486,2021,wooded_grassland,chepareria_6_8,chepareria,6.8615
35.17268155,1.382911464,2021,wooded_grassland,chepareria_6_9,chepareria,5.8629
35.17079509,1.415520309,2021,wooded_grassland,chepareria_7_1,chepareria,6.18975
35.1702561,1.412286374,2021,bushland,chepareria_7_10,chepareria,9.15
35.17241206,1.41147789,2021,wooded_grassland,chepareria_7_2,chepareria,9.3344
35.17322054,1.414172836,2021,shrubland,chepareria_7_3,chepareria,6.30775
35.16783065,1.411747385,2021,bushland,chepareria_7_4,chepareria,6.00355
35.17268155,1.416328793,2021,shrubland,chepareria_7_5,chepareria,7.4111
35.16863913,1.416059298,2021,wooded_grassland,chepareria_7_6,chepareria,10.3812
35.16971711,1.406896482,2021,shrubland,chepareria_7_7,chepareria,7.5658
35.16702216,1.407165977,2021,shrubland,chepareria_7_8,chepareria,7.43565
35.16567469,1.40851345,2021,wooded_grassland,chepareria_7_9,chepareria,6.508
35.16863913,1.433576446,2021,wooded_grassland,chepareria_8_1,chepareria,5.29975
35.17672397,1.42791706,2021,wooded_grassland,chepareria_8_10,chepareria,9.86355
35.17268155,1.429803522,2021,wooded_grassland,chepareria_8_2,chepareria,15.21405
35.16836964,1.427108576,2021,bushland,chepareria_8_7,chepareria,9.1755
35.17106458,1.434115435,2021,wooded_grassland,chepareria_8_4,chepareria,6.62455
35.17268155,1.428456049,2021,wooded_grassland,chepareria_8_5,chepareria,5.804
35.17699346,1.431689984,2021,bushland,chepareria_8_6,chepareria,7.14905
35.16836964,1.427108576,2021,wooded_grassland,chepareria_8_7,chepareria,6.9499
35.17241206,1.432228973,2021,bushland,chepareria_8_8,chepareria,5.1768
