longitude,latitude,year,LC,siteid,site,SOC,elev,slope,aspect,roughness,twi,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,EVI,VV,VH,VV/VH,prec,temp
-14.69702195,13.59317213,2021,forest,changai_3_2,changai,4.3263,50,5.506165777495066,355.54278564453125,2.479004144668579,1.2732373476028442,0.07487625,0.12291875,0.166905,0.2993175,0.2828175,0.25615625,0.2255346664858379,0.0586766591867117,0.0105858192916635,5.542949257873721,22.888574600219727,15446.553846153844
-14.69702195,13.59317213,2021,forest,changai_3_2,changai,4.3263,50,5.506165777495066,355.54278564453125,2.479004144668579,1.2732373476028442,0.45032,0.44075,0.45626,0.5082074999999999,0.20062,0.20942,0.1502057286288461,0.0197310195318021,0.0021060282339016,9.368829540925937,2.499440193176269,15694.324324324323
-14.69702195,13.59317213,2021,forest,changai_3_2,changai,4.3263,50,5.506165777495066,355.54278564453125,2.479004144668579,1.2732373476028442,0.3817625,0.4166325,0.4283475,0.5270725,0.3511825,0.28939,0.1871978045911922,0.0486954812778797,0.0086293918771481,5.6429794788706245,18.95137405395508,15444.63829787234
34.64150772,0.719146301,2021,cropland,sichei_1_8,sichei,19.528,1544,1.8544801501263484,43.854713439941406,8.728071212768555,0.2736303210258484,0.0781075,0.13704,0.139735,0.3403474999999999,0.2930475,0.2035075,0.3148440669480625,0.2078531111259118,0.0377755271427407,5.502321922352173,36.6563606262207,15087.084337349395
34.64150772,0.719146301,2021,cropland,sichei_1_8,sichei,19.528,1544,1.8544801501263484,43.854713439941406,8.728071212768555,0.2736303210258484,0.1905825,0.22340375,0.20579,0.40412,0.219925,0.17778125,0.3992218098916788,0.1742673648758802,0.0382955545618051,4.5505899279936095,38.81878280639648,15089.555555555557
34.64150772,0.719146301,2021,cropland,sichei_1_8,sichei,19.528,1544,1.8544801501263484,43.854713439941406,8.728071212768555,0.2736303210258484,0.04288,0.0922425,0.0891624999999999,0.2134625,0.1879974999999999,0.1363525,0.2205761714037542,0.1466612854711104,0.0306417198936241,4.786326811297148,29.398073196411133,15156.287234042553
34.64150772,0.719146301,2021,cropland,sichei_1_8,sichei,19.528,1544,1.8544801501263484,43.854713439941406,8.728071212768555,0.2736303210258484,0.1354175,0.20893875,0.19084375,0.37382875,0.3108675,0.22779,0.3048275545608739,0.1618784065468199,0.0431734772363703,3.749487345217817,24.27067375183105,15084.797752808989
34.16019039,2.302965978,2022,grassland,matany_15_4,matany,12.8869,1129,3.818660818234168,202.30438232421875,1.4843933582305908,0.8934005498886108,0.24958375,0.1799124999999999,0.1729824999999999,0.4004899999999999,0.1891525,0.1718825,0.2434519995388354,0.0326527401620333,0.007097105449117,4.600853178262368,12.949355125427246,15484.525773195875
34.16019039,2.302965978,2022,grassland,matany_15_4,matany,12.8869,1129,3.818660818234168,202.30438232421875,1.4843933582305908,0.8934005498886108,0.0606449999999999,0.119825,0.13493625,0.2788025,0.2758325,0.19560125,0.2626353047031653,0.0501256281132142,0.0138893451639152,3.6089266644075857,12.71925163269043,15322.39
34.16019039,2.302965978,2022,grassland,matany_15_4,matany,12.8869,1129,3.818660818234168,202.30438232421875,1.4843933582305908,0.8934005498886108,0.07754375,0.1273875,0.14304875,0.2611475,0.243795,0.18941375,0.1157838906198386,0.0220533011917279,0.0038232440838258,5.768216914275509,11.09731101989746,15581.104166666666
34.16019039,2.302965978,2022,grassland,matany_15_4,matany,12.8869,1129,3.818660818234168,202.30438232421875,1.4843933582305908,0.8934005498886108,0.042605,0.1055525,0.0838825,0.3282474999999999,0.20645,0.1591225,0.3705512152777779,0.0653763570097145,0.0086092338299157,7.593748561287963,16.58189582824707,15233.132530120482
34.69055574,0.711061463,2021,cropland,sichei_9_4,sichei,17.7904,1496,4.627495262844478,209.9810333251953,6.183143615722656,2.4453275203704834,0.0564512499999999,0.1075462499999999,0.116085,0.345875,0.21965,0.1685275,0.3537871220378258,0.1738548213260991,0.0341391550881173,5.092534389833569,32.901641845703125,15108.475
34.69055574,0.711061463,2021,cropland,sichei_9_4,sichei,17.7904,1496,4.627495262844478,209.9810333251953,6.183143615722656,2.4453275203704834,0.0853125,0.154585,0.1576374999999999,0.37332,0.2304025,0.1697925,0.3253620426829268,0.1502072035432399,0.0387788881070946,3.873427291891829,35.48698806762695,15092.176470588236
34.69055574,0.711061463,2021,cropland,sichei_9_4,sichei,17.7904,1496,4.627495262844478,209.9810333251953,6.183143615722656,2.4453275203704834,0.1508725,0.195175,0.1977875,0.4051925,0.3393025,0.25276,0.3184534176469014,0.1380207333214334,0.0338864109247957,4.073040772235914,26.72310256958008,15138.1914893617
34.69055574,0.711061463,2021,cropland,sichei_9_4,sichei,17.7904,1496,4.627495262844478,209.9810333251953,6.183143615722656,2.4453275203704834,0.17805625,0.22912375,0.23132375,0.403625,0.3107575,0.22354125,0.3164471011251972,0.1760583296060715,0.0305732528414044,5.758573695751499,22.050067901611328,15081.455555555556
32.97360573,-3.943379518,2021,shrubland,sigili_7_6,sigili,13.7053,1152,0.92961035539554,178.1346435546875,5.102042198181152,0.868003785610199,0.2940925,0.3465075,0.32976,0.48519,0.3226925,0.2319425,0.3088693371222472,0.1424255238925959,0.0372807202499003,3.8203533337845528,18.888124465942383,15130.614285714286
